Mass Spring Dampener Position Data - Oct.31.2023. Oct 31, 2023 1:41 PM
Time (s)	Distance (cm)	Dist Error (cm)
3.140	19.354	0.239
3.150	19.646	0.239
3.160	19.952	0.239
3.170	20.284	0.239
3.180	20.640	0.239
3.190	21.019	0.239
3.200	21.368	0.239
3.210	21.738	0.239
3.220	22.194	0.239
3.230	22.616	0.239
3.240	23.038	0.239
3.250	23.472	0.239
3.260	23.907	0.239
3.270	24.333	0.239
3.280	24.746	0.239
3.290	25.120	0.239
3.300	25.516	0.239
3.310	25.891	0.239
3.320	26.222	0.239
3.330	26.553	0.239
3.340	26.855	0.239
3.350	27.130	0.239
3.360	27.376	0.239
3.370	27.591	0.239
3.380	27.772	0.239
3.390	27.918	0.239
3.400	28.030	0.239
3.410	28.108	0.239
3.420	28.152	0.239
3.430	28.156	0.239
3.440	28.122	0.239
3.450	28.049	0.239
3.460	27.942	0.239
3.470	27.801	0.239
3.480	27.624	0.239
3.490	27.397	0.239
3.500	27.152	0.239
3.510	26.882	0.239
3.520	26.581	0.239
3.530	26.255	0.239
3.540	25.907	0.239
3.550	25.559	0.239
3.560	25.172	0.239
3.570	24.773	0.239
3.580	24.365	0.239
3.590	23.969	0.239
3.600	23.548	0.239
3.610	23.123	0.239
3.620	22.702	0.239
3.630	22.281	0.239
3.640	21.869	0.239
3.650	21.435	0.239
3.660	21.078	0.239
3.670	20.708	0.239
3.680	20.352	0.239
3.690	20.021	0.239
3.700	19.742	0.239
3.710	19.463	0.239
3.720	19.209	0.239
3.730	18.995	0.239
3.740	18.793	0.239
3.750	18.660	0.239
3.760	18.545	0.239
3.770	18.450	0.239
3.780	18.399	0.239
3.790	18.404	0.239
3.800	18.443	0.239
3.810	18.529	0.239
3.820	18.637	0.239
3.830	18.757	0.239
3.840	18.956	0.239
3.850	19.167	0.239
3.860	19.399	0.239
3.870	19.683	0.239
3.880	19.972	0.239
3.890	20.299	0.239
3.900	20.652	0.239
3.910	21.022	0.239
3.920	21.375	0.239
3.930	21.740	0.239
3.940	22.192	0.239
3.950	22.610	0.239
3.960	23.031	0.239
3.970	23.462	0.239
3.980	23.888	0.239
3.990	24.305	0.239
4.000	24.718	0.239
4.010	25.118	0.239
4.020	25.459	0.239
