Motion Sensor Data File Oct 31, 2023 3:56 PM
Time (s)	Velocity (cm/s)
3.880	0.043
3.890	0.473
3.900	0.043
3.910	0.043
3.920	0.000
3.930	0.043
3.940	0.043
3.950	0.043
3.960	0.043
3.970	0.043
3.980	0.043
3.990	0.043
4.000	0.000
4.010	0.043
4.020	0.043
4.030	0.043
4.040	0.043
4.050	0.043
4.060	0.043
4.070	0.000
4.080	0.043
4.090	0.043
4.100	-0.387
4.110	0.043
4.120	0.043
4.130	-1.247
4.140	0.000
4.150	0.473
4.160	0.043
4.170	0.043
4.180	0.043
4.190	0.043
4.200	0.473
4.210	0.000
4.220	0.043
4.230	0.043
4.240	0.043
4.250	0.043
4.260	0.043
4.270	-0.387
4.280	0.043
4.290	0.000
4.300	-0.387
4.310	0.043
4.320	0.043
4.330	0.043
4.340	0.043
4.350	0.043
4.360	0.000
4.370	0.473
4.380	0.043
4.390	0.043
4.400	0.473
4.410	0.043
4.420	0.043
4.430	0.000
4.440	0.043
4.450	0.043
4.460	0.043
4.470	-1.247
4.480	-0.387
4.490	0.043
4.500	0.043
4.510	0.000
4.520	0.043
4.530	0.043
4.540	-0.387
4.550	0.043
4.560	0.043
4.570	0.043
4.580	0.000
4.590	0.043
4.600	0.043
4.610	0.473
4.620	0.043
4.630	0.043
4.640	0.043
4.650	0.000
4.660	0.473
4.670	0.043
4.680	0.043
4.690	0.043
4.700	0.043
4.710	0.043
4.720	0.043
4.730	0.000
4.740	0.043
4.750	0.043
4.760	0.043
4.770	0.043
4.780	0.043
4.790	-0.387
4.800	0.000
4.810	0.043
4.820	-1.247
4.830	0.043
4.840	0.043
4.850	0.043
4.860	0.043
4.870	0.000
4.880	0.043
4.890	0.043
4.900	0.043
4.910	0.043
4.920	0.043
4.930	0.473
4.940	0.000
4.950	0.043
4.960	0.043
4.970	0.473
4.980	0.043
4.990	-0.387
5.000	0.043
5.010	0.043
5.020	0.000
5.030	0.043
5.040	0.043
5.050	-0.387
5.060	0.473
5.070	-0.387
5.080	0.043
5.090	0.000
5.100	0.043
5.110	0.043
5.120	0.043
5.130	0.043
5.140	0.043
5.150	0.043
5.160	0.000
5.170	-1.247
5.180	0.473
5.190	0.043
5.200	0.043
5.210	0.473
5.220	0.043
5.230	-0.387
5.240	0.430
5.250	0.043
5.260	-0.387
5.270	0.043
5.280	0.043
5.290	0.043
5.300	-0.387
5.310	0.000
5.320	0.043
5.330	0.043
5.340	0.043
5.350	0.043
5.360	0.043
5.370	0.043
5.380	0.000
5.390	0.043
5.400	0.043
5.410	0.043
5.420	0.043
5.430	0.043
5.440	0.043
5.450	0.043
5.460	0.430
5.470	0.043
5.480	0.043
5.490	0.043
5.500	-0.387
5.510	0.043
5.520	-0.817
5.530	-0.430
5.540	0.043
5.550	0.043
5.560	0.043
5.570	0.043
5.580	0.043
5.590	0.043
5.600	0.000
5.610	-0.387
5.620	0.043
5.630	0.043
5.640	0.043
5.650	0.043
5.660	0.473
5.670	0.043
5.680	0.000
5.690	0.043
5.700	0.043
5.710	0.043
5.720	0.473
5.730	0.043
5.740	0.043
5.750	0.000
5.760	0.043
5.770	0.043
5.780	0.043
5.790	-0.387
5.800	0.043
5.810	0.043
5.820	0.000
5.830	0.043
5.840	0.043
5.850	0.043
5.860	-1.677
5.870	0.473
5.880	-0.387
5.890	0.043
5.900	0.000
5.910	0.473
5.920	0.043
5.930	0.043
5.940	0.043
5.950	0.043
5.960	0.473
5.970	0.000
5.980	0.043
5.990	0.043
6.000	0.043
6.010	0.043
6.020	0.043
6.030	0.043
6.040	0.000
6.050	-0.387
6.060	0.043
6.070	0.043
6.080	0.043
6.090	0.043
6.100	-0.387
6.110	0.043
6.120	0.000
6.130	0.043
6.140	0.043
6.150	0.043
6.160	0.043
6.170	0.043
6.180	0.473
6.190	-0.430
6.200	0.473
