Position Uncertainty Oct 31, 2023 2:36 PM
Time (s)	Distance (cm)	Dist Error (cm)
2.620	15.392	0.239
2.630	15.393	0.239
2.640	15.393	0.239
2.650	15.394	0.239
2.660	15.394	0.239
2.670	15.394	0.239
2.680	15.394	0.239
2.690	15.395	0.239
2.700	15.395	0.239
2.710	15.396	0.239
2.720	15.396	0.239
2.730	15.397	0.239
2.740	15.384	0.239
2.750	15.385	0.239
2.760	15.385	0.239
2.770	15.385	0.239
2.780	15.386	0.239
2.790	15.386	0.239
2.800	15.386	0.239
2.810	15.387	0.239
2.820	15.387	0.239
2.830	15.388	0.239
2.840	15.388	0.239
2.850	15.388	0.239
2.860	15.389	0.239
2.870	15.389	0.239
2.880	15.385	0.239
2.890	15.390	0.239
2.900	15.386	0.239
2.910	15.387	0.239
2.920	15.387	0.239
2.930	15.387	0.239
2.940	15.392	0.239
2.950	15.392	0.239
2.960	15.393	0.239
2.970	15.393	0.239
2.980	15.394	0.239
2.990	15.394	0.239
3.000	15.394	0.239
3.010	15.395	0.239
3.020	15.395	0.239
3.030	15.396	0.239
3.040	15.396	0.239
3.050	15.396	0.239
3.060	15.384	0.239
3.070	15.384	0.239
3.080	15.385	0.239
3.090	15.385	0.239
3.100	15.385	0.239
3.110	15.386	0.239
3.120	15.386	0.239
3.130	15.387	0.239
3.140	15.387	0.239
3.150	15.388	0.239
3.160	15.388	0.239
3.170	15.388	0.239
3.180	15.388	0.239
3.190	15.389	0.239
3.200	15.389	0.239
3.210	15.390	0.239
3.220	15.390	0.239
3.230	15.391	0.239
3.240	15.391	0.239
3.250	15.391	0.239
3.260	15.392	0.239
3.270	15.392	0.239
3.280	15.392	0.239
3.290	15.393	0.239
3.300	15.393	0.239
3.310	15.394	0.239
3.320	15.394	0.239
3.330	15.394	0.239
3.340	15.395	0.239
3.350	15.395	0.239
3.360	15.396	0.239
3.370	15.396	0.239
3.380	15.397	0.239
3.390	15.384	0.239
3.400	15.384	0.239
3.410	15.380	0.239
3.420	15.385	0.239
3.430	15.381	0.239
3.440	15.382	0.239
3.450	15.382	0.239
3.460	15.382	0.239
3.470	15.383	0.239
