Mass Spring Only Mass Position Data Oct 31, 2023 1:49 PM
Time (s)	Distance (cm)	Dist Error (cm)
3.300	25.146	0.239
3.310	25.478	0.239
3.320	25.797	0.239
3.330	26.102	0.239
3.340	26.391	0.239
3.350	26.662	0.239
3.360	26.903	0.239
3.370	27.123	0.239
3.380	27.325	0.239
3.390	27.493	0.239
3.400	27.631	0.239
3.410	27.739	0.239
3.420	27.817	0.239
3.430	27.864	0.239
3.440	27.878	0.239
3.450	27.857	0.239
3.460	27.810	0.239
3.470	27.733	0.239
3.480	27.617	0.239
3.490	27.471	0.239
3.500	27.304	0.239
3.510	27.106	0.239
3.520	26.883	0.239
3.530	26.638	0.239
3.540	26.372	0.239
3.550	26.085	0.239
3.560	25.784	0.239
3.570	25.471	0.239
3.580	25.127	0.239
3.590	24.783	0.239
3.600	24.427	0.239
3.610	24.066	0.239
3.620	23.710	0.239
3.630	23.358	0.239
3.640	23.014	0.239
3.650	22.675	0.239
3.660	22.353	0.239
3.670	22.043	0.239
3.680	21.747	0.239
3.690	21.468	0.239
3.700	21.202	0.239
3.710	20.970	0.239
3.720	20.768	0.239
3.730	20.575	0.239
3.740	20.434	0.239
3.750	20.301	0.239
3.760	20.211	0.239
3.770	20.155	0.239
3.780	20.121	0.239
3.790	20.121	0.239
3.800	20.152	0.239
3.810	20.217	0.239
3.820	20.312	0.239
3.830	20.441	0.239
3.840	20.588	0.239
3.850	20.778	0.239
3.860	20.980	0.239
3.870	21.212	0.239
3.880	21.471	0.239
3.890	21.751	0.239
3.900	22.048	0.239
3.910	22.358	0.239
3.920	22.667	0.239
3.930	23.003	0.239
3.940	23.348	0.239
3.950	23.696	0.239
3.960	24.049	0.239
3.970	24.398	0.239
3.980	24.746	0.239
3.990	25.087	0.239
4.000	25.418	0.239
4.010	25.741	0.239
4.020	26.043	0.239
4.030	26.331	0.239
4.040	26.602	0.239
4.050	26.847	0.239
4.060	27.072	0.239
4.070	27.270	0.239
4.080	27.442	0.239
4.090	27.585	0.239
4.100	27.697	0.239
4.110	27.778	0.239
4.120	27.830	0.239
4.130	27.848	0.239
4.140	27.836	0.239
4.150	27.789	0.239
4.160	27.716	0.239
4.170	27.609	0.239
4.180	27.472	0.239
4.190	27.305	0.239
4.200	27.111	0.239
4.210	26.892	0.239
4.220	26.652	0.239
4.230	26.386	0.239
4.240	26.102	0.239
4.250	25.802	0.239
4.260	25.471	0.239
4.270	25.145	0.239
4.280	24.805	0.239
4.290	24.462	0.239
4.300	24.114	0.239
4.310	23.766	0.239
4.320	23.418	0.239
4.330	23.075	0.239
4.340	22.740	0.239
4.350	22.418	0.239
4.360	22.104	0.239
4.370	21.807	0.239
4.380	21.528	0.239
4.390	21.267	0.239
4.400	21.039	0.239
4.410	20.824	0.239
4.420	20.640	0.239
4.430	20.481	0.239
4.440	20.353	0.239
4.450	20.250	0.239
4.460	20.186	0.239
4.470	20.152	0.239
4.480	20.148	0.239
4.490	20.174	0.239
4.500	20.230	0.239
4.510	20.321	0.239
4.520	20.446	0.239
4.530	20.588	0.239
4.540	20.778	0.239
4.550	20.976	0.239
4.560	21.204	0.239
4.570	21.463	0.239
4.580	21.738	0.239
4.590	22.027	0.239
4.600	22.320	0.239
4.610	22.643	0.239
4.620	22.974	0.239
4.630	23.314	0.239
4.640	23.658	0.239
4.650	24.003	0.239
4.660	24.356	0.239
4.670	24.704	0.239
4.680	25.053	0.239
4.690	25.393	0.239
4.700	25.720	0.239
4.710	26.026	0.239
4.720	26.319	0.239
4.730	26.585	0.239
4.740	26.831	0.239
4.750	27.059	0.239
4.760	27.257	0.239
4.770	27.438	0.239
4.780	27.581	0.239
4.790	27.706	0.239
4.800	27.792	0.239
4.810	27.848	0.239
4.820	27.874	0.239
