Motion Sensor Data File Oct 31, 2023 3:55 PM
Time (s)	Distance (cm)	Dist Error (cm)
2.620	16.906	0.239
2.630	16.906	0.239
2.640	16.907	0.239
2.650	16.907	0.239
2.660	16.908	0.239
2.670	16.908	0.239
2.680	16.908	0.239
2.690	16.904	0.239
2.700	16.905	0.239
2.710	16.905	0.239
2.720	16.901	0.239
2.730	16.889	0.239
2.740	16.889	0.239
2.750	16.890	0.239
2.760	16.890	0.239
2.770	16.890	0.239
2.780	16.890	0.239
2.790	16.887	0.239
2.800	16.887	0.239
2.810	16.892	0.239
2.820	16.892	0.239
2.830	16.893	0.239
2.840	16.893	0.239
2.850	16.897	0.239
2.860	16.898	0.239
2.870	16.898	0.239
2.880	16.899	0.239
2.890	16.899	0.239
2.900	16.899	0.239
2.910	16.899	0.239
2.920	16.900	0.239
2.930	16.896	0.239
2.940	16.896	0.239
2.950	16.897	0.239
2.960	16.897	0.239
2.970	16.893	0.239
2.980	16.893	0.239
2.990	16.894	0.239
3.000	16.894	0.239
3.010	16.895	0.239
3.020	16.895	0.239
3.030	16.896	0.239
3.040	16.896	0.239
3.050	16.896	0.239
3.060	16.892	0.239
3.070	16.897	0.239
3.080	16.884	0.239
3.090	16.885	0.239
3.100	16.885	0.239
3.110	16.890	0.239
3.120	16.890	0.239
3.130	16.890	0.239
3.140	16.891	0.239
3.150	16.891	0.239
3.160	16.892	0.239
3.170	16.892	0.239
3.180	16.893	0.239
3.190	16.893	0.239
3.200	16.893	0.239
3.210	16.893	0.239
3.220	16.894	0.239
3.230	16.890	0.239
3.240	16.890	0.239
3.250	16.891	0.239
3.260	16.891	0.239
3.270	16.891	0.239
3.280	16.892	0.239
3.290	16.892	0.239
3.300	16.893	0.239
3.310	16.893	0.239
3.320	16.893	0.239
3.330	16.894	0.239
3.340	16.894	0.239
3.350	16.899	0.239
3.360	16.895	0.239
3.370	16.899	0.239
3.380	16.900	0.239
3.390	16.900	0.239
3.400	16.901	0.239
3.410	16.901	0.239
3.420	16.901	0.239
3.430	16.889	0.239
3.440	16.889	0.239
3.450	16.890	0.239
3.460	16.890	0.239
3.470	16.886	0.239
3.480	16.887	0.239
3.490	16.887	0.239
3.500	16.887	0.239
3.510	16.887	0.239
3.520	16.888	0.239
3.530	16.884	0.239
3.540	16.884	0.239
3.550	16.885	0.239
3.560	16.885	0.239
3.570	16.885	0.239
3.580	16.886	0.239
3.590	16.886	0.239
3.600	16.887	0.239
3.610	16.887	0.239
3.620	16.887	0.239
3.630	16.887	0.239
3.640	16.892	0.239
3.650	16.893	0.239
3.660	16.893	0.239
3.670	16.893	0.239
3.680	16.894	0.239
3.690	16.894	0.239
3.700	16.895	0.239
3.710	16.895	0.239
3.720	16.895	0.239
3.730	16.896	0.239
3.740	16.896	0.239
3.750	16.896	0.239
3.760	16.893	0.239
3.770	16.893	0.239
3.780	16.880	0.239
3.790	16.881	0.239
3.800	16.881	0.239
3.810	16.881	0.239
3.820	16.882	0.239
3.830	16.882	0.239
3.840	16.883	0.239
3.850	16.883	0.239
3.860	16.883	0.239
3.870	16.884	0.239
3.880	16.884	0.239
3.890	16.889	0.239
3.900	16.889	0.239
3.910	16.890	0.239
3.920	16.890	0.239
3.930	16.890	0.239
3.940	16.890	0.239
3.950	16.891	0.239
3.960	16.891	0.239
3.970	16.892	0.239
3.980	16.892	0.239
3.990	16.893	0.239
4.000	16.893	0.239
4.010	16.893	0.239
4.020	16.893	0.239
4.030	16.894	0.239
4.040	16.894	0.239
4.050	16.895	0.239
4.060	16.895	0.239
4.070	16.895	0.239
4.080	16.896	0.239
4.090	16.896	0.239
4.100	16.892	0.239
4.110	16.893	0.239
4.120	16.893	0.239
4.130	16.881	0.239
4.140	16.881	0.239
4.150	16.885	0.239
4.160	16.886	0.239
4.170	16.886	0.239
4.180	16.887	0.239
4.190	16.887	0.239
4.200	16.892	0.239
4.210	16.892	0.239
4.220	16.892	0.239
4.230	16.893	0.239
4.240	16.893	0.239
4.250	16.893	0.239
4.260	16.894	0.239
4.270	16.890	0.239
4.280	16.890	0.239
4.290	16.890	0.239
4.300	16.887	0.239
4.310	16.887	0.239
4.320	16.887	0.239
4.330	16.888	0.239
4.340	16.888	0.239
4.350	16.889	0.239
4.360	16.889	0.239
4.370	16.893	0.239
4.380	16.894	0.239
4.390	16.894	0.239
4.400	16.899	0.239
4.410	16.899	0.239
4.420	16.900	0.239
4.430	16.900	0.239
4.440	16.900	0.239
4.450	16.901	0.239
4.460	16.901	0.239
4.470	16.889	0.239
4.480	16.885	0.239
4.490	16.885	0.239
4.500	16.886	0.239
4.510	16.886	0.239
4.520	16.886	0.239
4.530	16.887	0.239
4.540	16.883	0.239
4.550	16.883	0.239
4.560	16.884	0.239
4.570	16.884	0.239
4.580	16.884	0.239
4.590	16.884	0.239
4.600	16.885	0.239
4.610	16.890	0.239
4.620	16.890	0.239
4.630	16.890	0.239
4.640	16.891	0.239
4.650	16.891	0.239
4.660	16.896	0.239
4.670	16.896	0.239
4.680	16.896	0.239
4.690	16.897	0.239
4.700	16.897	0.239
4.710	16.898	0.239
4.720	16.898	0.239
4.730	16.898	0.239
4.740	16.899	0.239
4.750	16.899	0.239
4.760	16.899	0.239
4.770	16.900	0.239
4.780	16.900	0.239
4.790	16.896	0.239
4.800	16.896	0.239
4.810	16.897	0.239
4.820	16.884	0.239
4.830	16.885	0.239
4.840	16.885	0.239
4.850	16.886	0.239
4.860	16.886	0.239
4.870	16.886	0.239
4.880	16.887	0.239
4.890	16.887	0.239
4.900	16.887	0.239
4.910	16.888	0.239
4.920	16.888	0.239
4.930	16.893	0.239
4.940	16.893	0.239
4.950	16.893	0.239
4.960	16.894	0.239
4.970	16.899	0.239
4.980	16.899	0.239
4.990	16.895	0.239
5.000	16.896	0.239
5.010	16.896	0.239
5.020	16.896	0.239
5.030	16.896	0.239
5.040	16.897	0.239
5.050	16.893	0.239
5.060	16.898	0.239
5.070	16.894	0.239
5.080	16.894	0.239
5.090	16.894	0.239
5.100	16.895	0.239
5.110	16.895	0.239
5.120	16.896	0.239
5.130	16.896	0.239
5.140	16.896	0.239
5.150	16.897	0.239
5.160	16.897	0.239
5.170	16.884	0.239
5.180	16.889	0.239
5.190	16.890	0.239
5.200	16.890	0.239
5.210	16.895	0.239
5.220	16.895	0.239
5.230	16.891	0.239
5.240	16.896	0.239
5.250	16.896	0.239
5.260	16.892	0.239
5.270	16.893	0.239
5.280	16.893	0.239
5.290	16.893	0.239
5.300	16.890	0.239
5.310	16.890	0.239
5.320	16.890	0.239
5.330	16.890	0.239
5.340	16.891	0.239
5.350	16.891	0.239
5.360	16.892	0.239
5.370	16.892	0.239
5.380	16.892	0.239
5.390	16.893	0.239
5.400	16.893	0.239
5.410	16.893	0.239
5.420	16.894	0.239
5.430	16.894	0.239
5.440	16.895	0.239
5.450	16.895	0.239
5.460	16.899	0.239
5.470	16.900	0.239
5.480	16.900	0.239
5.490	16.901	0.239
5.500	16.897	0.239
5.510	16.897	0.239
5.520	16.889	0.239
5.530	16.885	0.239
5.540	16.885	0.239
5.550	16.886	0.239
5.560	16.886	0.239
5.570	16.887	0.239
5.580	16.887	0.239
5.590	16.887	0.239
5.600	16.887	0.239
5.610	16.884	0.239
5.620	16.884	0.239
5.630	16.884	0.239
5.640	16.885	0.239
5.650	16.885	0.239
5.660	16.890	0.239
5.670	16.890	0.239
5.680	16.890	0.239
5.690	16.891	0.239
5.700	16.891	0.239
5.710	16.892	0.239
5.720	16.896	0.239
5.730	16.897	0.239
5.740	16.897	0.239
5.750	16.897	0.239
5.760	16.898	0.239
5.770	16.898	0.239
5.780	16.899	0.239
5.790	16.895	0.239
5.800	16.895	0.239
5.810	16.896	0.239
5.820	16.896	0.239
5.830	16.896	0.239
5.840	16.896	0.239
5.850	16.897	0.239
5.860	16.880	0.239
5.870	16.885	0.239
5.880	16.881	0.239
5.890	16.881	0.239
5.900	16.881	0.239
5.910	16.886	0.239
5.920	16.887	0.239
5.930	16.887	0.239
5.940	16.887	0.239
5.950	16.888	0.239
5.960	16.893	0.239
5.970	16.893	0.239
5.980	16.893	0.239
5.990	16.893	0.239
6.000	16.894	0.239
6.010	16.894	0.239
6.020	16.895	0.239
6.030	16.895	0.239
6.040	16.895	0.239
6.050	16.891	0.239
6.060	16.892	0.239
6.070	16.892	0.239
6.080	16.893	0.239
6.090	16.893	0.239
6.100	16.889	0.239
6.110	16.890	0.239
6.120	16.890	0.239
6.130	16.890	0.239
6.140	16.890	0.239
6.150	16.891	0.239
6.160	16.891	0.239
6.170	16.892	0.239
6.180	16.896	0.239
6.190	16.892	0.239
6.200	16.897	0.239
6.210	16.884	0.239
6.220	16.885	0.239
6.230	16.885	0.239
6.240	16.886	0.239
6.250	16.886	0.239
6.260	16.886	0.239
6.270	16.887	0.239
6.280	16.887	0.239
6.290	16.887	0.239
6.300	16.888	0.239
6.310	16.888	0.239
6.320	16.884	0.239
6.330	16.889	0.239
6.340	16.885	0.239
6.350	16.885	0.239
6.360	16.886	0.239
6.370	16.886	0.239
6.380	16.887	0.239
6.390	16.887	0.239
6.400	16.887	0.239
6.410	16.887	0.239
6.420	16.888	0.239
6.430	16.888	0.239
6.440	16.889	0.239
6.450	16.889	0.239
6.460	16.894	0.239
6.470	16.894	0.239
6.480	16.894	0.239
6.490	16.895	0.239
6.500	16.895	0.239
6.510	16.896	0.239
6.520	16.896	0.239
6.530	16.896	0.239
6.540	16.897	0.239
6.550	16.897	0.239
6.560	16.884	0.239
6.570	16.885	0.239
6.580	16.885	0.239
6.590	16.886	0.239
6.600	16.886	0.239
6.610	16.882	0.239
6.620	16.883	0.239
6.630	16.883	0.239
6.640	16.883	0.239
6.650	16.884	0.239
6.660	16.884	0.239
6.670	16.884	0.239
6.680	16.885	0.239
6.690	16.885	0.239
6.700	16.885	0.239
6.710	16.886	0.239
6.720	16.886	0.239
6.730	16.887	0.239
6.740	16.891	0.239
6.750	16.892	0.239
6.760	16.892	0.239
6.770	16.893	0.239
6.780	16.893	0.239
6.790	16.893	0.239
6.800	16.893	0.239
6.810	16.894	0.239
6.820	16.894	0.239
6.830	16.895	0.239
6.840	16.895	0.239
6.850	16.895	0.239
6.860	16.891	0.239
6.870	16.892	0.239
6.880	16.892	0.239
6.890	16.893	0.239
6.900	16.893	0.239
6.910	16.881	0.239
6.920	16.881	0.239
6.930	16.877	0.239
6.940	16.877	0.239
6.950	16.882	0.239
6.960	16.882	0.239
6.970	16.883	0.239
6.980	16.887	0.239
6.990	16.888	0.239
7.000	16.888	0.239
7.010	16.888	0.239
7.020	16.889	0.239
7.030	16.893	0.239
7.040	16.890	0.239
7.050	16.890	0.239
7.060	16.890	0.239
7.070	16.890	0.239
7.080	16.891	0.239
7.090	16.891	0.239
7.100	16.887	0.239
7.110	16.888	0.239
7.120	16.893	0.239
7.130	16.889	0.239
7.140	16.889	0.239
7.150	16.889	0.239
7.160	16.890	0.239
7.170	16.890	0.239
7.180	16.890	0.239
7.190	16.891	0.239
7.200	16.891	0.239
7.210	16.892	0.239
7.220	16.896	0.239
7.230	16.896	0.239
7.240	16.897	0.239
7.250	16.880	0.239
7.260	16.881	0.239
7.270	16.881	0.239
7.280	16.886	0.239
7.290	16.886	0.239
7.300	16.882	0.239
7.310	16.882	0.239
7.320	16.887	0.239
7.330	16.883	0.239
7.340	16.888	0.239
7.350	16.888	0.239
7.360	16.884	0.239
7.370	16.889	0.239
7.380	16.885	0.239
7.390	16.885	0.239
7.400	16.886	0.239
7.410	16.886	0.239
7.420	16.887	0.239
7.430	16.887	0.239
7.440	16.887	0.239
7.450	16.887	0.239
7.460	16.888	0.239
7.470	16.888	0.239
7.480	16.889	0.239
7.490	16.889	0.239
7.500	16.890	0.239
7.510	16.894	0.239
7.520	16.894	0.239
7.530	16.895	0.239
7.540	16.895	0.239
7.550	16.896	0.239
7.560	16.896	0.239
7.570	16.896	0.239
7.580	16.897	0.239
7.590	16.897	0.239
7.600	16.884	0.239
7.610	16.881	0.239
7.620	16.881	0.239
7.630	16.881	0.239
7.640	16.882	0.239
7.650	16.882	0.239
7.660	16.882	0.239
7.670	16.883	0.239
7.680	16.883	0.239
7.690	16.884	0.239
7.700	16.884	0.239
7.710	16.889	0.239
7.720	16.889	0.239
7.730	16.885	0.239
7.740	16.890	0.239
7.750	16.890	0.239
7.760	16.890	0.239
7.770	16.891	0.239
7.780	16.891	0.239
7.790	16.892	0.239
7.800	16.892	0.239
7.810	16.892	0.239
7.820	16.893	0.239
7.830	16.889	0.239
7.840	16.893	0.239
7.850	16.890	0.239
7.860	16.890	0.239
7.870	16.890	0.239
7.880	16.890	0.239
7.890	16.891	0.239
7.900	16.891	0.239
7.910	16.892	0.239
7.920	16.892	0.239
7.930	16.893	0.239
7.940	16.893	0.239
7.950	16.881	0.239
7.960	16.881	0.239
7.970	16.881	0.239
7.980	16.881	0.239
7.990	16.882	0.239
8.000	16.882	0.239
8.010	16.887	0.239
8.020	16.887	0.239
8.030	16.887	0.239
8.040	16.888	0.239
8.050	16.888	0.239
8.060	16.889	0.239
8.070	16.889	0.239
8.080	16.890	0.239
8.090	16.890	0.239
8.100	16.890	0.239
8.110	16.890	0.239
8.120	16.891	0.239
8.130	16.891	0.239
8.140	16.892	0.239
8.150	16.888	0.239
8.160	16.888	0.239
8.170	16.889	0.239
8.180	16.889	0.239
8.190	16.889	0.239
8.200	16.890	0.239
8.210	16.890	0.239
8.220	16.890	0.239
8.230	16.895	0.239
8.240	16.891	0.239
8.250	16.891	0.239
8.260	16.896	0.239
8.270	16.896	0.239
8.280	16.897	0.239
8.290	16.884	0.239
8.300	16.885	0.239
8.310	16.885	0.239
8.320	16.885	0.239
8.330	16.886	0.239
8.340	16.886	0.239
8.350	16.887	0.239
8.360	16.887	0.239
8.370	16.887	0.239
8.380	16.888	0.239
8.390	16.888	0.239
8.400	16.884	0.239
8.410	16.884	0.239
8.420	16.885	0.239
8.430	16.885	0.239
8.440	16.886	0.239
8.450	16.886	0.239
8.460	16.882	0.239
8.470	16.887	0.239
8.480	16.883	0.239
8.490	16.887	0.239
8.500	16.888	0.239
8.510	16.888	0.239
8.520	16.889	0.239
8.530	16.889	0.239
8.540	16.889	0.239
8.550	16.890	0.239
8.560	16.890	0.239
8.570	16.890	0.239
8.580	16.891	0.239
8.590	16.891	0.239
8.600	16.892	0.239
8.610	16.896	0.239
8.620	16.896	0.239
8.630	16.893	0.239
8.640	16.880	0.239
8.650	16.881	0.239
8.660	16.881	0.239
8.670	16.881	0.239
8.680	16.882	0.239
8.690	16.882	0.239
8.700	16.882	0.239
8.710	16.883	0.239
8.720	16.883	0.239
8.730	16.884	0.239
8.740	16.884	0.239
8.750	16.884	0.239
8.760	16.885	0.239
8.770	16.885	0.239
8.780	16.885	0.239
8.790	16.886	0.239
8.800	16.886	0.239
8.810	16.891	0.239
8.820	16.891	0.239
8.830	16.892	0.239
8.840	16.892	0.239
8.850	16.892	0.239
8.860	16.893	0.239
8.870	16.893	0.239
8.880	16.893	0.239
8.890	16.894	0.239
8.900	16.894	0.239
8.910	16.890	0.239
8.920	16.895	0.239
8.930	16.891	0.239
8.940	16.891	0.239
8.950	16.892	0.239
8.960	16.892	0.239
8.970	16.893	0.239
8.980	16.893	0.239
8.990	16.880	0.239
9.000	16.881	0.239
9.010	16.881	0.239
9.020	16.881	0.239
9.030	16.882	0.239
9.040	16.887	0.239
9.050	16.887	0.239
9.060	16.887	0.239
9.070	16.887	0.239
9.080	16.888	0.239
9.090	16.888	0.239
9.100	16.889	0.239
9.110	16.889	0.239
9.120	16.890	0.239
9.130	16.890	0.239
9.140	16.890	0.239
9.150	16.890	0.239
9.160	16.891	0.239
9.170	16.891	0.239
9.180	16.887	0.239
9.190	16.888	0.239
9.200	16.888	0.239
9.210	16.888	0.239
9.220	16.889	0.239
9.230	16.889	0.239
9.240	16.890	0.239
9.250	16.890	0.239
9.260	16.890	0.239
9.270	16.891	0.239
9.280	16.891	0.239
9.290	16.891	0.239
9.300	16.892	0.239
9.310	16.896	0.239
9.320	16.897	0.239
9.330	16.897	0.239
9.340	16.885	0.239
9.350	16.885	0.239
9.360	16.885	0.239
9.370	16.886	0.239
9.380	16.886	0.239
9.390	16.887	0.239
9.400	16.887	0.239
9.410	16.887	0.239
9.420	16.888	0.239
9.430	16.888	0.239
9.440	16.884	0.239
9.450	16.884	0.239
9.460	16.885	0.239
9.470	16.885	0.239
9.480	16.886	0.239
9.490	16.886	0.239
9.500	16.886	0.239
9.510	16.887	0.239
9.520	16.887	0.239
9.530	16.892	0.239
9.540	16.888	0.239
9.550	16.893	0.239
9.560	16.893	0.239
9.570	16.893	0.239
9.580	16.893	0.239
9.590	16.894	0.239
9.600	16.894	0.239
9.610	16.895	0.239
9.620	16.895	0.239
9.630	16.896	0.239
9.640	16.896	0.239
9.650	16.892	0.239
9.660	16.896	0.239
9.670	16.893	0.239
9.680	16.880	0.239
9.690	16.881	0.239
9.700	16.881	0.239
9.710	16.881	0.239
9.720	16.881	0.239
9.730	16.882	0.239
9.740	16.882	0.239
9.750	16.883	0.239
9.760	16.883	0.239
9.770	16.884	0.239
9.780	16.884	0.239
9.790	16.889	0.239
9.800	16.889	0.239
9.810	16.889	0.239
9.820	16.890	0.239
9.830	16.890	0.239
9.840	16.890	0.239
9.850	16.891	0.239
9.860	16.891	0.239
9.870	16.891	0.239
9.880	16.892	0.239
9.890	16.892	0.239
9.900	16.893	0.239
9.910	16.893	0.239
9.920	16.893	0.239
9.930	16.894	0.239
9.940	16.894	0.239
